[2026-03-22T16:55:44.405+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-03-22T16:55:44.421+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_raw_pipeline.trigger_stage manual__2026-03-22T16:55:13.015774+00:00 [queued]>
[2026-03-22T16:55:44.424+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_raw_pipeline.trigger_stage manual__2026-03-22T16:55:13.015774+00:00 [queued]>
[2026-03-22T16:55:44.424+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-03-22T16:55:44.429+0000] {taskinstance.py:2330} INFO - Executing <Task(TriggerDagRunOperator): trigger_stage> on 2026-03-22 16:55:13.015774+00:00
[2026-03-22T16:55:44.434+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'tmdb_raw_pipeline', 'trigger_stage', 'manual__2026-03-22T16:55:13.015774+00:00', '--job-id', '10', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_daily_dag.py', '--cfg-path', '/tmp/tmpgy9jigsu']
[2026-03-22T16:55:44.436+0000] {standard_task_runner.py:91} INFO - Job 10: Subtask trigger_stage
[2026-03-22T16:55:44.435+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=3399) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-03-22T16:55:44.437+0000] {standard_task_runner.py:63} INFO - Started process 3400 to run task
[2026-03-22T16:55:44.461+0000] {task_command.py:426} INFO - Running <TaskInstance: tmdb_raw_pipeline.trigger_stage manual__2026-03-22T16:55:13.015774+00:00 [running]> on host 8742e1fd3736
[2026-03-22T16:55:44.499+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='tmdb_raw_pipeline' AIRFLOW_CTX_TASK_ID='trigger_stage' AIRFLOW_CTX_EXECUTION_DATE='2026-03-22T16:55:13.015774+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-03-22T16:55:13.015774+00:00'
[2026-03-22T16:55:44.500+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-03-22T16:55:48.463+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:213 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.464+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:260 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.466+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1189 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.468+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1291 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.468+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1318 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.468+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1458 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.469+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1495 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.469+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1556 SyntaxWarning: invalid escape sequence '\d'
